"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
770499,0.31936316149074,246.568242528611,706,11.6000003814697,2.76948,"Épicéa commun","Autres forêts publiques RF"
751133,0.434205173038006,437.612958474543,1152,73.5,4.41846,"Hêtre","Autres forêts publiques RF"
780174,0.382938057770173,404.254432489439,746,70.2000045776367,3.91458,"Hêtre","Autres forêts publiques RF"
751340,0.554434811907139,361.863958546441,722,43.5,4.0631,"Sapin pectiné","Autres forêts publiques RF"
707206,0.183447792425027,171.794010331307,945,60.9000015258789,1.81059,"Douglas","Autres forêts publiques RF"
741242,0.388174838949809,549.831710118255,761,43.5,3.65899,"Sapin pectiné","Forêts privées et autres - Hors PSG"
714600,0.275117511959468,189.626075263491,1080,15.75,1.72671,"Hêtre","Autres forêts publiques RF"
779810,0.265614859679771,188.944652108585,815,34.8000030517578,3.02624,"Sapin pectiné","Autres forêts publiques RF"
711200,0.237065765827308,415.895182007747,572,126,6.55365,"Frêne","Forêts privées et autres - Hors PSG"
719799,0.409827338854063,296.819507964637,484,35,4.33718,"Chêne pédonculé","Autres forêts publiques RF"
757655,0.170378615740136,235.44107948952,565,31.5,2.60875,"Sapin pectiné","Autres forêts publiques RF"
732904,0.396583581654153,327.851099295141,943,44.0999984741211,1.41429,"Épicéa commun","Autres forêts publiques RF"
730551,0.177076012063388,295.136008894474,468,80,4.95105,"Frêne","Forêts privées et autres - Hors PSG"
714361,0.348415455523603,336.843161581837,891,73,2.81851,"Douglas","Forêts domaniales RF"
740262,0.318743961668549,150.069071416447,476,83.1000061035156,4.73222,"Épicéa commun","Autres forêts publiques RF"
753778,0.462757233734187,279.492097430578,830,43.5999984741211,3.56941,"Hêtre","Forêts privées et autres - En PSG"
752168,0.134880058158246,172.827343219687,812,141.75,2.23621,"Hêtre","Autres forêts publiques RF"
720179,0.198676273283727,311.842175316593,365,121.500007629395,5.32326,"Grand aulne","Autres forêts publiques RF"
739429,0.200003319048261,262.300588509622,551,13.0500011444092,2.0874,"Sapin pectiné","Autres forêts publiques RF"
731276,0.188398215759226,327.016727294555,691,58.5000038146973,4.02969,"Hêtre","Autres forêts publiques RF"
711750,0.191047738343352,142.939894301339,464,76,3.54194,"Chêne rouvre","Forêts privées et autres - Hors PSG"
744174,0.164353938695081,199.363644734077,494,36,1.88184,"Châtaignier","Forêts privées et autres - Hors PSG"
702983,0.230439622588146,262.642869207479,416,35,3.2324,"Douglas","Autres forêts publiques RF"
725659,0.194881301843449,213.776519669587,474,25,6.28201,"Douglas","Autres forêts publiques RF"
734970,0.346516137814338,435.356547604543,599,81,3.35423,"Hêtre","Forêts domaniales RF"
762219,0.242495080823825,446.769669781036,904,81,3.08197,"Épicéa commun","Autres forêts publiques RF"
770405,0.248834056079304,154.922952368729,624,81.2000045776367,3.82451,"Sapin pectiné","Autres forêts publiques RF"
725947,0.302710442061165,454.251783243532,532,101.700004577637,5.97102,"Hêtre","Forêts privées et autres - Hors PSG"
770261,0.351492496924131,150.562373581541,623,137,3.45682,"Douglas","Forêts privées et autres - En PSG"
