"idp","pro_psg","pnr","expl","nb_cut","nb_tree"
1215497,"privé - sans psg","dans PNR","moyenne",5,10
1225890,"publis - communales","dans PNR","difficile",3,25
1201346,"publis - communales","dans PNR","très facile",1,16
1229192,"publis - communales","dans PNR","difficile",1,9
1202562,"privé - sans psg","dans PNR","facile",13,13
1214935,"privé - sans psg","dans PNR","facile",1,9
1220821,"privé - sans psg","hors PNR","difficile",8,18
1204463,"publis - communales","dans PNR","très facile",5,14
1206670,"publis - communales","hors PNR","difficile",2,16
1206552,"privé - sans psg","hors PNR","facile",12,14
1214517,"publics - domaniales","hors PNR","difficile",5,20
1202098,"publics - domaniales","hors PNR","difficile",2,15
1212832,"publis - communales","dans PNR","difficile",2,4
1200890,"publics - domaniales","dans PNR","très facile",18,20
1207279,"publis - communales","dans PNR","difficile",1,12
1210386,"publis - communales","dans PNR","difficile",1,13
1307133,"publis - communales","hors PNR","facile",4,5
1337217,"publics - domaniales","hors PNR","très facile",6,24
1348449,"publis - communales","hors PNR","facile",2,20
1346167,"privé - psg","hors PNR","très facile",4,15
1302966,"publics - domaniales","hors PNR","difficile",3,15
1343583,"privé - psg","hors PNR","très facile",1,16
1335906,"privé - sans psg","dans PNR","difficile",4,4
1329778,"publics - domaniales","dans PNR","facile",1,11
1336335,"privé - sans psg","hors PNR","difficile",3,9
1315073,"publics - domaniales","hors PNR","difficile",8,24
1354468,"publics - domaniales","hors PNR","très facile",1,19
1315741,"publics - domaniales","dans PNR","facile",1,10
1308077,"publics - domaniales","hors PNR","difficile",2,18
1319544,"publics - domaniales","hors PNR","difficile",1,17
1311166,"publics - domaniales","dans PNR","très facile",1,8
1348665,"publics - domaniales","dans PNR","difficile",12,19
1312695,"privé - sans psg","hors PNR","moyenne",14,14
1320826,"privé - psg","hors PNR","difficile",2,14
1305351,"publis - communales","hors PNR","difficile",10,10
1320151,"publis - communales","dans PNR","facile",1,16
1321987,"publis - communales","hors PNR","difficile",2,31
1303361,"privé - psg","hors PNR","facile",5,18
1322368,"publis - communales","hors PNR","difficile",1,14
1314258,"privé - psg","dans PNR","difficile",2,8
1327584,"publis - communales","dans PNR","difficile",6,29
1314922,"publis - communales","dans PNR","difficile",5,13
1334725,"publis - communales","dans PNR","difficile",1,12
1323721,"publis - communales","dans PNR","moyenne",4,15
1324582,"privé - sans psg","dans PNR","moyenne",1,3
1329440,"publics - domaniales","dans PNR","difficile",1,14
1330904,"publis - communales","hors PNR","facile",1,9
1331565,"privé - sans psg","dans PNR","très facile",1,6
1308924,"publis - communales","dans PNR","très facile",2,7
1308338,"publis - communales","dans PNR","facile",3,15
1327612,"publis - communales","dans PNR","très facile",6,14
1326445,"publis - communales","dans PNR","difficile",1,15
1338647,"privé - sans psg","dans PNR","facile",1,27
1347253,"privé - sans psg","hors PNR","très facile",37,37
1331452,"publics - domaniales","hors PNR","très facile",3,13
1323785,"publis - communales","dans PNR","difficile",16,17
1344432,"publics - domaniales","dans PNR","difficile",2,9
1336402,"privé - sans psg","dans PNR","difficile",1,20
1340801,"publis - communales","dans PNR","difficile",1,15
1351115,"privé - psg","dans PNR","facile",1,23
1411999,"privé - psg","hors PNR","difficile",1,8
1417271,"privé - psg","hors PNR","facile",4,7
1408312,"privé - psg","hors PNR","difficile",2,19
1430522,"publics - domaniales","hors PNR","facile",1,13
1425688,"publics - domaniales","dans PNR","difficile",1,12
1438333,"publics - domaniales","dans PNR","facile",1,15
1448955,"publics - domaniales","dans PNR","difficile",1,10
1414643,"privé - sans psg","dans PNR","facile",3,22
1403127,"publics - domaniales","dans PNR","moyenne",4,18
1433696,"publis - communales","dans PNR","moyenne",1,11
1413409,"publis - communales","dans PNR","moyenne",1,2
1423952,"publics - domaniales","hors PNR","facile",1,13
1453825,"publics - domaniales","hors PNR","moyenne",4,6
1402698,"publis - communales","hors PNR","très facile",1,11
1447259,"publis - communales","hors PNR","moyenne",2,19
1407816,"privé - psg","dans PNR","facile",7,20
1417360,"publics - domaniales","dans PNR","difficile",5,20
1438381,"privé - psg","hors PNR","difficile",3,18
1427852,"publics - domaniales","dans PNR","moyenne",1,11
1453896,"privé - psg","hors PNR","difficile",5,18
1438600,"publis - communales","hors PNR","moyenne",4,20
1441932,"publis - communales","dans PNR","difficile",1,14
1413263,"publics - domaniales","hors PNR","difficile",1,14
1445775,"publis - communales","dans PNR","difficile",1,21
1414442,"publis - communales","dans PNR","difficile",4,13
1418663,"publis - communales","dans PNR","difficile",2,13
1448682,"publis - communales","dans PNR","difficile",8,20
1406197,"publis - communales","dans PNR","facile",1,18
1417568,"publis - communales","dans PNR","difficile",3,7
1441090,"privé - sans psg","dans PNR","facile",21,21
1412055,"publics - domaniales","dans PNR","difficile",1,9
1452217,"privé - sans psg","dans PNR","moyenne",10,10
1419826,"publics - domaniales","hors PNR","moyenne",4,15
1435574,"publis - communales","hors PNR","très facile",2,27
1422282,"privé - sans psg","hors PNR","facile",15,16
1417690,"publis - communales","dans PNR","facile",1,15
1439890,"privé - sans psg","dans PNR","moyenne",1,22
1439806,"privé - sans psg","hors PNR","difficile",4,21
1447447,"publics - domaniales","dans PNR","difficile",3,16
1450172,"privé - psg","dans PNR","difficile",4,17
1448295,"publis - communales","dans PNR","difficile",1,12
1408079,"publis - communales","dans PNR","moyenne",1,8
1504902,"publis - communales","hors PNR","facile",1,16
1540648,"privé - psg","hors PNR","facile",3,15
1542884,"privé - psg","hors PNR","difficile",2,17
1512562,"privé - psg","dans PNR","facile",20,20
1503071,"publics - domaniales","dans PNR","moyenne",1,13
1531019,"publics - domaniales","hors PNR","difficile",6,10
1553414,"publics - domaniales","hors PNR","facile",1,18
1548418,"publics - domaniales","dans PNR","très facile",1,8
1514466,"publics - domaniales","hors PNR","facile",3,15
1531145,"publics - domaniales","hors PNR","difficile",1,9
1515573,"publics - domaniales","dans PNR","très facile",2,12
1537814,"privé - psg","dans PNR","facile",1,13
1548355,"publics - domaniales","dans PNR","facile",1,12
1515058,"publics - domaniales","hors PNR","facile",1,3
1542537,"publis - communales","hors PNR","difficile",1,9
1509541,"publics - domaniales","hors PNR","difficile",3,11
1505999,"publis - communales","hors PNR","facile",3,14
1537593,"publis - communales","hors PNR","difficile",1,20
1539027,"publics - domaniales","hors PNR","difficile",3,20
1513054,"privé - psg","dans PNR","très facile",4,21
1508491,"publics - domaniales","dans PNR","moyenne",2,15
1543256,"privé - psg","dans PNR","très facile",1,7
1515046,"privé - psg","hors PNR","difficile",1,6
1547392,"publis - communales","dans PNR","difficile",2,10
1546744,"privé - sans psg","hors PNR","difficile",1,23
1534275,"publis - communales","hors PNR","difficile",1,7
1541470,"publis - communales","dans PNR","difficile",2,26
1518868,"publis - communales","dans PNR","difficile",1,19
1518996,"publics - domaniales","dans PNR","facile",1,15
1539824,"publis - communales","dans PNR","difficile",1,22
1533085,"publis - communales","dans PNR","difficile",1,25
1530983,"privé - sans psg","dans PNR","très facile",1,11
1545542,"privé - sans psg","dans PNR","difficile",2,21
1520392,"publics - domaniales","dans PNR","difficile",1,6
1532650,"privé - sans psg","hors PNR","facile",1,14
1553374,"privé - sans psg","dans PNR","difficile",3,12
1553666,"publics - domaniales","dans PNR","difficile",4,17
1500261,"publics - domaniales","hors PNR","très facile",1,6
1511022,"publis - communales","hors PNR","facile",3,12
1502426,"privé - psg","hors PNR","facile",1,19
1516816,"publics - domaniales","hors PNR","difficile",1,23
1508224,"publics - domaniales","hors PNR","facile",3,12
1508159,"publics - domaniales","dans PNR","difficile",1,4
1514090,"privé - sans psg","dans PNR","difficile",13,13
1554664,"publics - domaniales","dans PNR","facile",6,16
1537902,"publis - communales","dans PNR","difficile",5,16
1550310,"publis - communales","dans PNR","difficile",4,25
1553093,"privé - sans psg","dans PNR","facile",6,14
574327,"publis - communales","hors PNR","facile",1,5
272470,"publics - domaniales","hors PNR",NA,1,11
655995,"publics - domaniales","hors PNR","moyenne",1,7
679350,"publics - domaniales","hors PNR","facile",3,8
262000,"publics - domaniales","hors PNR",NA,3,12
479037,"publics - domaniales","hors PNR","très facile",1,15
330737,"publics - domaniales","hors PNR","difficile",2,13
510746,"publics - domaniales","hors PNR","difficile",2,4
224543,"publics - domaniales","hors PNR",NA,1,13
604079,"publics - domaniales","hors PNR","difficile",2,13
567502,"publics - domaniales","hors PNR","difficile",2,8
568706,"privé - psg","hors PNR","difficile",2,8
106941,"privé - sans psg","hors PNR",NA,1,6
9355,"publics - domaniales","hors PNR",NA,2,14
43459,"publics - domaniales","hors PNR",NA,3,6
248482,"privé - psg","hors PNR",NA,3,11
615007,"privé - psg","hors PNR","facile",3,7
102357,"privé - psg","hors PNR",NA,1,10
34260,"privé - psg","hors PNR",NA,2,18
569731,"privé - psg","hors PNR","moyenne",1,4
304039,"privé - psg","hors PNR","facile",1,16
534865,"privé - psg","hors PNR","difficile",2,10
418181,"privé - psg","hors PNR","facile",1,9
582818,"privé - psg","hors PNR","très facile",6,22
651115,"publics - domaniales","hors PNR","difficile",3,12
508932,"publics - domaniales","hors PNR","difficile",3,5
279709,"publics - domaniales","hors PNR",NA,2,13
454019,"publics - domaniales","hors PNR","difficile",2,11
510040,"privé - sans psg","hors PNR","facile",2,16
546089,"privé - psg","hors PNR","facile",3,8
302684,"privé - psg","hors PNR","difficile",1,1
317125,"publics - domaniales","hors PNR","difficile",2,10
511167,"publics - domaniales","hors PNR","difficile",4,27
551677,"publics - domaniales","hors PNR","facile",1,8
257415,"publics - domaniales","hors PNR",NA,1,13
444665,"publics - domaniales","hors PNR","facile",3,7
202992,"publics - domaniales","hors PNR",NA,1,15
342926,"publics - domaniales","hors PNR","très facile",2,8
334504,"publics - domaniales","dans PNR","facile",7,20
228642,"publics - domaniales","hors PNR",NA,4,18
655422,"privé - sans psg","dans PNR","moyenne",3,8
244160,"publics - domaniales","dans PNR",NA,1,12
322314,"privé - sans psg","dans PNR","facile",1,11
258022,"publics - domaniales","dans PNR",NA,4,10
436944,"privé - sans psg","dans PNR","facile",3,20
342911,"publics - domaniales","dans PNR","très facile",3,14
471898,"publics - domaniales","dans PNR","moyenne",4,18
375013,"publics - domaniales","dans PNR","facile",3,14
632298,"publics - domaniales","dans PNR","très facile",7,16
241434,"publics - domaniales","dans PNR",NA,2,7
435557,"publics - domaniales","dans PNR","difficile",4,11
613719,"publics - domaniales","dans PNR","facile",2,8
237718,"publics - domaniales","dans PNR",NA,1,9
463707,"publics - domaniales","dans PNR","très facile",3,11
426661,"publics - domaniales","dans PNR","difficile",4,25
680722,"privé - sans psg","dans PNR","très facile",1,4
334612,"publics - domaniales","dans PNR","difficile",5,13
602120,"publics - domaniales","dans PNR","très facile",1,13
455612,"publics - domaniales","dans PNR","facile",2,12
312808,"privé - psg","dans PNR","difficile",2,11
270479,"privé - psg","dans PNR",NA,2,9
110408,"publics - domaniales","hors PNR",NA,2,4
5797,"privé - psg","hors PNR",NA,1,5
52931,"publics - domaniales","hors PNR",NA,4,14
152713,"publics - domaniales","hors PNR",NA,1,16
48801,"publics - domaniales","hors PNR",NA,3,8
14457,"publics - domaniales","hors PNR",NA,4,13
116291,"publics - domaniales","hors PNR",NA,5,5
103914,"publics - domaniales","hors PNR",NA,6,9
103193,"publics - domaniales","dans PNR",NA,2,5
112139,"privé - sans psg","dans PNR",NA,9,11
9175,"privé - psg","dans PNR",NA,6,12
5677,"publics - domaniales","dans PNR",NA,4,20
15400,"publics - domaniales","dans PNR",NA,4,10
