"idp","biomass","troph_r"
1531708,384.798780435188,3.5295188
1546585,65.0442756755995,2.8442516
1502426,377.342708631959,1.3053718
1516816,435.577104050566,1.3089497
1508224,448.147312993356,2.2580345
1541903,28.4764500500394,2.402832
1539098,326.926823895403,3.095381
1502288,139.330940379218,1.5550219
1508159,84.0011557338997,0.88932127
1526044,443.653533619697,1.3865383
1503339,184.112279596757,1.2796502
1514090,225.539989417801,3.8305707
1516211,222.152834388959,1.0079474
1541763,144.929883220987,1.9184651
1535586,112.369202050334,1.498447
1515578,272.643905817323,1.5674013
1502937,198.329637007144,2.5979092
1515684,163.900797058908,2.0675187
1502847,78.5947195475717,2.084817
1554664,493.08585184291,1.8651737
1522197,195.336926006212,2.0952706
1515018,323.921196880337,2.441428
1546217,72.2186632536596,4.5889497
1506621,94.3022497989763,2.5069835
1545147,152.351076121954,2.856243
1540788,29.6113363817709,4.4792595
1504324,159.596331195175,4.3361626
1537810,326.978647695687,2.7195365
1536330,208.839714289466,3.2401717
1508544,186.567621858918,2.4958212
1502114,402.138158217967,2.4874785
1523202,155.574599803034,2.0536647
1518385,413.780178638118,2.824983
1550845,235.686850355043,2.699821
1525255,316.98135562606,2.949126
1535941,232.860468222533,1.781089
1537902,272.341082163148,2.6746056
1502812,180.106064461654,2.677158
1550310,386.644793551928,3.2209606
1511525,129.213853734081,2.690031
1529745,308.635977594749,2.244152
1540886,38.8090662559484,2.2030623
1651441,55.6523437833467,1.5407432
1613087,85.7738500079261,6.2342467
1612577,155.455647646222,0.69969285
1654324,87.915964374233,5.62675
1641749,290.156973316253,1.4229101
1626328,139.456532443706,1.8037452
1639071,203.129515064541,0.5936288
1644334,97.664836442485,1.204011
1623877,146.075453261273,1.998506
1625894,146.90498808045,2.3017976
1643290,117.434150263853,0.7290979
1621787,64.1683845852829,2.2982795
1646365,84.0911766683496,2.2159162
1610040,281.072102084972,4.421181
1620596,346.872334167116,0.5599679
1632921,299.616780819894,3.193645
1631647,652.965059009765,2.3818977
1614966,226.145195780436,2.4027145
1620671,71.5405455462586,1.5030955
1620073,349.474972658143,1.6629705
1626920,144.607408884279,2.227627
1616721,106.557083732962,0.73221874
1619146,240.615485059656,1.8345065
1620958,529.253487829721,0.25407726
1636677,277.918620242722,0.6681146
1616243,123.429291569785,2.4667943
1646068,62.1088417609328,1.5406982
1620482,273.608194081607,0.74273837
1647457,291.172820165792,1.6565325
1629186,237.039686381239,1.7986705
1636666,168.315736583707,1.8931638
1633913,496.806794131067,1.7102998
1641211,398.104528766448,3.4399574
1608268,89.0355122960242,2.2866802
1647745,221.831858808742,1.9530342
1605019,442.536640635399,3.0271883
1610951,177.135889330936,0.9069869
1620316,142.276020443567,2.8941936
1618252,87.9306505138543,2.8601675
1614533,96.4674852656644,1.7265266
1633415,381.085881773383,1.4568759
1603646,328.1538008783,4.2855544
1643728,183.793376737954,3.4604027
1611179,255.237604562996,2.6182563
1650876,154.017124757741,1.7934599
1607921,244.012908779406,2.39901
1615044,199.088500014384,7.713063
1638035,272.711932267944,2.2157817
1639648,243.689982923775,1.8260895
1603066,336.067171707234,1.110559
1626513,438.527960275555,4.3288326
1639513,91.1321047181,3.2979946
1637726,51.8087429010878,5.0919843
1618494,149.833002328404,2.6207118
1633387,369.883859527851,3.4460974
1636476,356.008114069218,4.6133814
1602732,293.561951830907,1.9224266
1635724,402.210586428731,2.467065
1630045,314.676572931976,1.9933923
1644765,579.472176396651,2.4242623
1614643,257.755527880004,2.413511
1645248,241.63437724217,2.198324
1624194,201.701097868109,1.7746849
1642631,468.221970045323,3.1765501
1651699,268.886040285139,2.1586277
1642816,28.2951601991935,4.161008
1643387,384.838142478821,3.410711
1642345,80.5255890377904,3.9528842
1609279,348.301728751965,2.1636486
1644333,173.652958556678,3.1650918
1651294,727.775457441062,3.5675545
1617378,225.193074498685,2.5491962
1652840,113.382781425973,2.107032
1636653,127.026813028337,2.1450548
1626756,38.0952554876861,1.9306005
1606071,212.813177719472,2.9613569
1649164,366.74277119343,8.738767
1652671,262.85726417912,2.6437006
1617329,221.211492362163,1.985046
1606427,159.89294846932,2.356088
1606419,300.610845329143,2.5315883
1653745,207.393362316889,3.3782659
1608598,316.005515905879,3.0274131
1643210,220.687782452654,4.1764345
1639327,389.249421158157,5.7932844
1638717,375.783483630124,3.0139494
1615781,263.019597599081,1.6626452
1645440,230.265304980162,1.5808558
1615187,365.594172205957,4.3653455
1605533,312.988413786484,2.4627082
1628287,129.576063487147,3.9836025
