"idp","pro_psg","biom","xl","yl","gr"
1021763,"privé - psg",98.6066863146268,332200,1917600,"332200 1917600"
1005143,"privé - psg",42.7110019888986,328200,1905600,"328200 1905600"
1008220,"privé - psg",35.782792351657,324200,1893600,"324200 1893600"
1001881,"privé - psg",62.7749910434804,318200,1875600,"318200 1875600"
1025072,"privé - sans psg",270.593124950147,316200,1869600,"316200 1869600"
1017854,"privé - sans psg",160.031940969277,312200,1857600,"312200 1857600"
1015020,"privé - sans psg",231.287946538873,314200,1853600,"314200 1853600"
1018670,"privé - psg",17.2717387490878,334200,1903600,"334200 1903600"
1017621,"privé - psg",51.9532783236624,332200,1897600,"332200 1897600"
1017511,"privé - psg",96.0327141499249,324200,1873600,"324200 1873600"
1002236,"publis - communales",151.409263938274,320200,1861600,"320200 1861600"
1001902,"publis - communales",136.452251811447,324200,1863600,"324200 1863600"
1028559,"publis - communales",65.589071515314,322200,1857600,"322200 1857600"
1028484,"privé - psg",37.4142542225418,348200,1925600,"348200 1925600"
1002820,"privé - sans psg",195.507265153358,328200,1855600,"328200 1855600"
1021185,"privé - psg",83.0969633855603,356200,1929600,"356200 1929600"
1004160,"privé - psg",72.663171399988,352200,1917600,"352200 1917600"
1006553,"publis - communales",136.564617309342,344200,1893600,"344200 1893600"
1030703,"privé - psg",306.147808805454,332200,1857600,"332200 1857600"
1009700,"privé - sans psg",143.369801422565,330200,1841600,"330200 1841600"
1018384,"privé - psg",3.18159113357038,360200,1921600,"360200 1921600"
1001335,"privé - psg",65.9941820058469,354200,1903600,"354200 1903600"
1008917,"privé - sans psg",17.9903535199913,350200,1891600,"350200 1891600"
1028731,"privé - sans psg",268.632730337544,336200,1849600,"336200 1849600"
1016880,"privé - psg",33.9883896008144,368200,1925600,"368200 1925600"
1004243,"privé - psg",48.008555013397,366200,1919600,"366200 1919600"
1000597,"privé - psg",77.2487265286243,356200,1889600,"356200 1889600"
1023265,"privé - sans psg",42.9960572245643,348200,1855600,"348200 1855600"
1023253,"privé - psg",9.84604880162095,362200,1887600,"362200 1887600"
1017789,"privé - psg",40.7773084722365,356200,1869600,"356200 1869600"
1029962,"privé - sans psg",366.12889457629,352200,1847600,"352200 1847600"
1008910,"privé - psg",86.3017570750073,376200,1909600,"376200 1909600"
1009235,"privé - psg",78.4891344218444,364200,1873600,"364200 1873600"
1017826,"privé - sans psg",73.3622056660479,362200,1867600,"362200 1867600"
1015921,"privé - sans psg",171.091900030529,356200,1849600,"356200 1849600"
1020973,"privé - sans psg",61.145088478219,366200,1869600,"366200 1869600"
1005144,"privé - psg",83.6008020755614,382200,1907600,"382200 1907600"
1021220,"privé - psg",55.3487138042876,376200,1889600,"376200 1889600"
1026503,"privé - psg",130.874309423117,374200,1883600,"374200 1883600"
1019036,"privé - sans psg",151.836016679821,372200,1867600,"372200 1867600"
1013019,"privé - sans psg",41.5316772106511,370200,1861600,"370200 1861600"
1005205,"privé - psg",61.288581021486,384200,1893600,"384200 1893600"
1011852,"privé - sans psg",156.663173360654,378200,1865600,"378200 1865600"
1029537,"privé - sans psg",172.930426003927,374200,1853600,"374200 1853600"
1012920,"privé - sans psg",89.9104373763711,372200,1847600,"372200 1847600"
1015113,"privé - sans psg",90.8841259377557,398200,1915600,"398200 1915600"
1026340,"privé - psg",124.909465727253,396200,1909600,"396200 1909600"
1006666,"privé - psg",9.91776521588926,394200,1903600,"394200 1903600"
1001919,"privé - sans psg",159.200215776342,388200,1885600,"388200 1885600"
1029857,"privé - sans psg",172.68509943111,384200,1873600,"384200 1873600"
1018460,"privé - sans psg",113.056986769953,380200,1851600,"380200 1851600"
1011629,"privé - psg",42.9002582977037,400200,1901600,"400200 1901600"
1013919,"privé - psg",195.321519926552,396200,1889600,"396200 1889600"
1011737,"privé - psg",112.161711606868,400200,1891600,"400200 1891600"
1005997,"privé - sans psg",121.349727622038,398200,1885600,"398200 1885600"
1020481,"privé - sans psg",501.018881888463,394200,1873600,"394200 1873600"
1025005,"privé - sans psg",64.2287349442997,388200,1855600,"388200 1855600"
1012986,"privé - sans psg",130.455076972678,384200,1843600,"384200 1843600"
1024155,"privé - psg",105.160251059552,406200,1899600,"406200 1899600"
1018508,"privé - psg",39.9822648521298,414200,1903600,"414200 1903600"
1009753,"publis - communales",102.181198899125,412200,1897600,"412200 1897600"
1018397,"privé - psg",113.456661462664,420200,1901600,"420200 1901600"
1014646,"privé - psg",3.62998053286167,418200,1895600,"418200 1895600"
1000857,"privé - psg",253.444140407641,490200,2341600,"490200 2341600"
1018867,"privé - sans psg",227.640992768085,480200,2301600,"480200 2301600"
1025074,"privé - sans psg",96.6172097272011,494200,2333600,"494200 2333600"
1014673,"privé - sans psg",158.016683693461,486200,2309600,"486200 2309600"
1017695,"privé - sans psg",312.531781169561,484200,2303600,"484200 2303600"
1014179,"privé - sans psg",216.438207785517,500200,2321600,"500200 2321600"
1006265,"privé - sans psg",214.833434173826,508200,2335600,"508200 2335600"
1009754,"privé - sans psg",262.28316215992,502200,2317600,"502200 2317600"
1002911,"privé - psg",319.423113714957,512200,2327600,"512200 2327600"
1025811,"privé - sans psg",271.23316954417,510200,2321600,"510200 2321600"
1031124,"privé - psg",293.5954513044,508200,2315600,"508200 2315600"
1017092,"privé - psg",4.11084018249089,518200,2325600,"518200 2325600"
1010021,"publis - communales",165.037661784411,514200,2313600,"514200 2313600"
1027531,"privé - psg",60.4372643916268,520200,2321600,"520200 2321600"
1020937,"privé - psg",476.24831606141,508200,2285600,"508200 2285600"
1025542,"privé - psg",203.416519560912,512200,2287600,"512200 2287600"
1024580,"privé - sans psg",29.5080054722153,510200,2281600,"510200 2281600"
1014414,"privé - sans psg",149.255727229266,508200,2275600,"508200 2275600"
1007949,"privé - psg",24.9590140974446,516200,2289600,"516200 2289600"
1029773,"publics - domaniales",231.604666126085,518200,2285600,"518200 2285600"
1025681,"privé - psg",125.271338952566,514200,2273600,"514200 2273600"
1012010,"privé - psg",143.351315121653,512200,2267600,"512200 2267600"
1004550,"privé - psg",290.977721824032,532200,2317600,"532200 2317600"
1024388,"privé - psg",149.133180952926,534200,2313600,"534200 2313600"
1021800,"publics - domaniales",7.86296659945077,524200,2283600,"524200 2283600"
1011163,"publics - domaniales",4.40366191115389,532200,2287600,"532200 2287600"
1025049,"publics - domaniales",67.1756844619198,530200,2281600,"530200 2281600"
1028197,"privé - sans psg",151.856469335361,528200,2275600,"528200 2275600"
1005023,"privé - sans psg",14.730346254341,520200,2251600,"520200 2251600"
1016719,"privé - sans psg",739.661065865042,540200,2301600,"540200 2301600"
1013506,"publics - domaniales",175.575584959908,536200,2289600,"536200 2289600"
1009510,"privé - sans psg",61.8088287140283,532200,2277600,"532200 2277600"
1001938,"privé - sans psg",184.216893308149,524200,2253600,"524200 2253600"
1002609,"privé - sans psg",152.716245120236,542200,2297600,"542200 2297600"
1011971,"publics - domaniales",170.522015309875,540200,2291600,"540200 2291600"
1006458,"publics - domaniales",301.889356321463,538200,2285600,"538200 2285600"
1019905,"privé - sans psg",202.92316914474,536200,2279600,"536200 2279600"
1019030,"privé - psg",184.33480428797,534200,2273600,"534200 2273600"
1018843,"privé - sans psg",283.386890436928,526200,2249600,"526200 2249600"
1007434,"privé - sans psg",84.8002238138723,544200,2293600,"544200 2293600"
1030097,"privé - psg",64.634911290721,540200,2281600,"540200 2281600"
1027939,"privé - sans psg",67.0963537221475,538200,2275600,"538200 2275600"
1020237,"privé - psg",115.271086976502,536200,2269600,"536200 2269600"
1019922,"privé - psg",437.342490123695,532200,2257600,"532200 2257600"
1030282,"privé - psg",134.361241149761,548200,2295600,"548200 2295600"
1026135,"publics - domaniales",161.624655911361,546200,2289600,"546200 2289600"
1024143,"privé - psg",58.2244397259492,544200,2283600,"544200 2283600"
1001236,"privé - psg",188.505611507691,548200,2285600,"548200 2285600"
1018430,"privé - sans psg",46.9676518230386,544200,2273600,"544200 2273600"
1005058,"privé - sans psg",90.8401217665902,540200,2261600,"540200 2261600"
1012061,"privé - sans psg",330.558282490529,552200,2287600,"552200 2287600"
1003744,"privé - psg",83.4225524813404,550200,2281600,"550200 2281600"
1024719,"privé - psg",210.213077561395,544200,2263600,"544200 2263600"
1014371,"privé - psg",82.574694345545,556200,2289600,"556200 2289600"
1004626,"privé - psg",325.839346956991,552200,2277600,"552200 2277600"
1028217,"privé - psg",319.680941591132,548200,2265600,"548200 2265600"
1000672,"privé - psg",116.314917052965,546200,2259600,"546200 2259600"
1016537,"privé - psg",173.069463093664,560200,2291600,"560200 2291600"
1024347,"privé - psg",91.388539032893,556200,2279600,"556200 2279600"
1001110,"privé - sans psg",128.936851066374,554200,2273600,"554200 2273600"
1020431,"privé - sans psg",86.157497818388,550200,2261600,"550200 2261600"
1025502,"privé - psg",246.549407330237,564200,2293600,"564200 2293600"
1010396,"privé - sans psg",286.076145934037,556200,2269600,"556200 2269600"
1026689,"privé - psg",361.160367460621,552200,2257600,"552200 2257600"
1009251,"privé - psg",99.1155361707271,568200,2295600,"568200 2295600"
1028926,"privé - psg",280.992878192651,562200,2277600,"562200 2277600"
1024848,"privé - psg",200.557107302928,560200,2271600,"560200 2271600"
1023694,"privé - psg",53.1879902988543,558200,2265600,"558200 2265600"
1002996,"privé - sans psg",251.144491876602,554200,2253600,"554200 2253600"
