"idp","pro_psg","ser_86","biom"
1003085,"privé - sans psg","J10",2.96617690485185
1019167,"privé - sans psg","G42",411.530603878633
1002089,"publis - communales","G42",484.760705182876
1030769,"privé - sans psg","G42",327.309239358228
1020775,"privé - sans psg","G42",221.363408435047
1027852,"privé - sans psg","G42",345.421111867482
1019385,"privé - sans psg","G42",22.0414321671095
1009568,"privé - sans psg","J10",9.5132126742028
1011182,"privé - sans psg","J10",128.788944307551
1014767,"privé - sans psg","J10",184.416720755454
1019936,"privé - sans psg","J10",242.646468843597
1030712,"privé - sans psg","J10",37.8349957806269
1023567,"privé - sans psg","G42",124.47867715462
1026845,"privé - sans psg","G42",64.0502751755823
1022580,"privé - sans psg","G42",156.646284089752
1015897,"privé - sans psg","J10",212.838686388756
1014525,"privé - sans psg","J10",27.2199604762595
1013072,"privé - sans psg","J10",80.3863662947773
1011242,"privé - sans psg","J10",45.4724186914002
1014122,"privé - sans psg","G42",45.8497142985829
1020605,"privé - sans psg","G42",221.401916640203
1029407,"privé - sans psg","J10",45.3246316436079
1007382,"privé - sans psg","J10",112.479256300196
1011171,"privé - sans psg","J10",31.7475661969794
1006449,"privé - sans psg","J10",137.96163131694
1020218,"privé - sans psg","J10",62.7536409000351
1016670,"privé - sans psg","C11",166.66761288155
1017774,"privé - psg","C11",68.4572656808723
1007876,"publis - communales","C11",121.929310284473
1007138,"privé - sans psg","C20",556.166816198715
1006605,"privé - psg","C11",87.9167660760708
1013409,"publics - domaniales","C20",418.539898175154
1027087,"publics - domaniales","C11",365.020216723253
1001979,"publics - domaniales","C11",204.228358828632
1013993,"privé - sans psg","C20",310.568429072226
1004782,"privé - sans psg","C30",258.127568522497
1001606,"publis - communales","C11",139.157777428085
1012680,"publics - domaniales","C11",175.714021511417
1008908,"publis - communales","C11",238.870772742995
1028563,"publis - communales","C20",98.9358253463732
1027525,"privé - psg","C11",137.899004205665
1013916,"privé - psg","C11",598.309163503666
1026066,"privé - sans psg","C11",197.911575306248
1024700,"publis - communales","C11",63.2766105939236
1028879,"publics - domaniales","C11",359.200996835175
1016081,"publics - domaniales","C11",275.262328441204
1023666,"privé - psg","C20",130.684903527431
1004255,"publics - domaniales","C11",36.5769646738442
1010513,"publis - communales","C11",312.673475344965
1003893,"privé - sans psg","C20",36.2682814284265
1014214,"publics - domaniales","C11",274.085853870512
1005933,"publics - domaniales","C11",149.333252128908
1005079,"publis - communales","C20",265.197255572788
1000614,"privé - psg","C20",227.090346428331
1031054,"publics - domaniales","C11",207.362207184693
1025743,"publics - domaniales","C20",519.732248313045
1021519,"privé - sans psg","B43",8.43520183820467
1028928,"privé - psg","C20",276.599389576148
1024758,"publics - domaniales","C20",156.506674685056
1006160,"privé - psg","C20",286.906982869117
1013258,"publis - communales","C11",249.497030677179
1004932,"privé - sans psg","C20",226.402212888924
1006282,"privé - psg","C12",39.533375427479
1001643,"privé - sans psg","B43",61.3988487348877
1011765,"privé - sans psg","C12",260.59612910752
1022069,"privé - psg","C11",141.82408979756
1017346,"publis - communales","C20",235.952314024198
1014092,"privé - sans psg","C20",197.776716030396
1003112,"publics - domaniales","C12",416.652447521523
1008441,"privé - sans psg","C12",76.6860133522381
1007454,"publics - domaniales","C11",128.083049904457
1006628,"privé - psg","C20",174.561075865019
1006388,"privé - sans psg","C20",17.3343537365639
1022358,"privé - sans psg","C20",52.266138803258
1023651,"publis - communales","C20",193.472017080366
1009332,"publics - domaniales","C30",233.975677311751
1005229,"privé - sans psg","C20",212.325297595861
1001224,"privé - sans psg","C20",146.057647392677
1021965,"privé - sans psg","C12",340.558836416319
1030278,"privé - psg","C12",349.991349586022
1001161,"privé - psg","C20",245.759794866603
1000251,"privé - sans psg","C12",346.133464749084
1018690,"privé - sans psg","C20",18.0661029028105
1012684,"publics - domaniales","I21",182.255745003842
1006815,"privé - sans psg","I21",154.046701285765
1019156,"privé - sans psg","I11",335.999439691846
1025239,"privé - sans psg","I11",134.457085740322
1018538,"publics - domaniales","I21",346.627624205539
1017157,"privé - sans psg","I21",185.36545666194
1026457,"privé - sans psg","I21",61.3224234715752
1001511,"privé - sans psg","I11",257.387222898038
1029856,"privé - sans psg","I11",11.8902841775256
1018343,"publis - communales","I21",487.953804373498
1010197,"privé - sans psg","I21",776.986601624496
1013617,"privé - sans psg","I21",154.522991943242
1012377,"privé - sans psg","I21",54.060119750797
1022317,"privé - sans psg","I11",326.407427188122
1031248,"privé - sans psg","I21",144.061970707032
1027146,"publics - domaniales","I21",231.643977696632
1004351,"publis - communales","I21",111.463365155605
1015146,"privé - psg","I21",219.564734337099
1021097,"privé - sans psg","F30",156.458085881298
1020439,"privé - sans psg","I11",144.633843388324
1030185,"privé - sans psg","I21",550.342857616384
1022293,"privé - sans psg","I21",197.875471108597
1020585,"privé - sans psg","I21",220.92895014077
1026658,"privé - sans psg","F30",109.965635113913
1031127,"privé - sans psg","I11",165.374747381739
1012080,"privé - sans psg","I21",425.467915161108
1020656,"privé - sans psg","I21",280.096069829782
1017688,"privé - sans psg","I21",235.870811656101
1007585,"publis - communales","I21",14.3532904338743
1018707,"privé - sans psg","F30",103.879958908072
1018373,"privé - sans psg","I21",301.693004869478
1028357,"privé - sans psg","I11",71.1287624920389
1022487,"privé - sans psg","I21",124.536593898731
1000088,"privé - psg","I21",355.26153085379
1018820,"publics - domaniales","I21",95.8959503027821
1006993,"privé - sans psg","I11",108.814830426815
1011347,"publics - domaniales","I21",180.311412415151
1030605,"privé - sans psg","I21",52.9097106962027
1008365,"privé - sans psg","I21",12.5611563641585
1013013,"privé - sans psg","I21",69.1849500474367
1029685,"privé - sans psg","I12",77.903651253462
1028531,"privé - psg","I21",410.783289897217
1026292,"privé - sans psg","F30",93.6318095952219
1028751,"privé - sans psg","I12",193.33302813972
1008322,"publis - communales","F30",14.5901218131393
1000281,"publis - communales","I21",131.213347680503
1006957,"privé - sans psg","I12",436.075257277778
1003720,"privé - sans psg","F30",19.2841526794886
1010684,"privé - sans psg","I12",155.296851632445
1010842,"privé - sans psg","I21",268.753956685507
1020522,"privé - sans psg","I12",227.76779018102
1011616,"privé - sans psg","I12",94.7105816523903
1009591,"privé - psg","I12",270.755605420708
1003186,"publics - domaniales","I12",302.467723360183
1013875,"privé - sans psg","I12",88.7347587165711
1028291,"publics - domaniales","I21",264.447483357631
1015553,"publics - domaniales","I21",337.743208021997
1007374,"privé - sans psg","I12",260.601766174357
1001517,"publics - domaniales","I12",181.216068927532
1014733,"publics - domaniales","I12",279.303633395655
1004254,"privé - sans psg","I12",25.845836655405
