"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership","tmoy_win_mean_anomaly","tmoy_win_min_anomaly","tmoy_win_max_anomaly","tmoy_spr_mean_anomaly","tmoy_spr_min_anomaly","tmoy_spr_max_anomaly","tmoy_sum_mean_anomaly","tmoy_sum_min_anomaly","tmoy_sum_max_anomaly","tmoy_aut_mean_anomaly","tmoy_aut_min_anomaly","tmoy_aut_max_anomaly","spei1-13_mean","spei2-13_mean","spei3-13_mean","spei4-13_mean","spei5-13_mean","spei6-13_mean","spei7-13_mean","spei8-13_mean","spei9-13_mean","spei10-13_mean","spei11-13_mean","spei12-13_mean","spei13-13_mean","spei14-13_mean","spei15-13_mean","spei16-13_mean","spei17-13_mean","spei18-13_mean","spei19-13_mean","spei20-13_mean","spei21-13_mean","spei22-13_mean","spei23-13_mean","spei24-13_mean"
1120794,0.156734216063136,61.9475531851784,911,63,1.18891,"Sapin pectiné","Autres forêts publiques RF",0.687096289079882,-1.50080737344475,2.75344974813093,0.397033039670412,-1.24586229689681,1.86031923976405,0.95443955441861,-0.508150333807802,2.09967503293552,0.281721749309762,-1.23871813178611,1.80332050226623,-0.243021213168471,-0.353890522663,-0.39473326826099,-0.439991807850064,-0.468087535282499,-0.492671783971106,-0.51768949687382,-0.544357830929959,-0.571205570520187,-0.593030377653674,-0.616777518255479,-0.636946876334998,-0.650383101973173,-0.667946828313925,-0.6897333866692,-0.711099776444507,-0.718650718214615,-0.723437022034387,-0.726348522839047,-0.727639041287809,-0.734636602500541,-0.735099996896629,-0.735894534450392,-0.732448744612227
1119727,0.155099811250596,77.1460351520101,600,104.400001525879,3.01328,"Épicéa commun","Forêts privées et autres - Hors PSG",0.61246324471566,-1.44090517129282,2.60299412775646,0.309769921951092,-1.41201057346827,1.88009750342153,0.996767147968231,-0.649008376521175,2.29469737232896,0.238162029756261,-1.25035065622037,1.81471126369727,-0.423099146928099,-0.571685956845662,-0.648207917734361,-0.731582670150253,-0.787813875729393,-0.837662617382069,-0.887261122313065,-0.936774997479054,-0.98579266433751,-1.02918423136695,-1.06928360352509,-1.10558722835999,-1.12855909883492,-1.15183260760762,-1.17322580907856,-1.19313067911124,-1.20585533410239,-1.21317485022941,-1.22117413479694,-1.22804633841766,-1.23644114914087,-1.24282415639441,-1.24868318116747,-1.2500739619183
1121253,0.271083697455029,179.575678978303,769,16.7999992370605,1.26768,"Sapin pectiné","Autres forêts publiques RF",0.670591369848868,-1.45937754662336,2.72053255246521,0.356732168527304,-1.32688570433772,1.85211129563807,0.952257830667056,-0.632694191157609,2.15363698876246,0.268543586806191,-1.22563185246804,1.82969134097834,-0.370409266842648,-0.505191428271925,-0.568463070801727,-0.643134477203702,-0.69345334196193,-0.738296689809226,-0.782863561751743,-0.828339098047802,-0.874206869236392,-0.914776778908257,-0.952893975869181,-0.987227589957906,-1.00996241080696,-1.03358188236473,-1.05616470698423,-1.07614527628218,-1.08771735174997,-1.09481938815083,-1.10175306123074,-1.10695582691311,-1.11499219685651,-1.1201304215343,-1.12517485671297,-1.12574405188682
1104047,0.225189700898201,75.1013475731745,736,46.4000015258789,1.20066,"Sapin pectiné","Autres forêts publiques RF",0.718940668826659,-1.34210225543727,2.78817859477753,0.379090778489331,-1.2863323017672,1.86048920899376,0.960974720959705,-0.49635343312513,2.11978565638523,0.282053825426093,-1.2178061758249,1.81168204044237,-0.242277298022919,-0.348360432723165,-0.386036876073802,-0.435205591358439,-0.465753636397736,-0.495620363849276,-0.523146213442756,-0.553232006911939,-0.584221746499434,-0.60994873691668,-0.636964029272438,-0.660166424300214,-0.675858595855845,-0.694116927266645,-0.716131967409738,-0.738099020287228,-0.745643700306334,-0.749235663913186,-0.751122617459768,-0.751529131314952,-0.75760922455761,-0.756915488160317,-0.757475601819673,-0.754513207677466
1107499,0.157097800862549,65.9329920125882,994,157.5,4.48996,"Hêtre","Forêts domaniales RF",0.674323168861271,-1.56175365981113,2.84839786722165,0.391319079468907,-1.23140416943145,1.81659574449823,0.89532685847104,-0.538246351866755,2.01382903356976,0.274282402340848,-1.27849964339388,1.78309595497728,-0.268406277365986,-0.380958463481369,-0.4304793966964,-0.479273204592824,-0.513019810576429,-0.542834249854604,-0.569075073428468,-0.595933695899988,-0.623329112105204,-0.647134659941914,-0.672423810301942,-0.696577794205992,-0.712298314216719,-0.734399258633648,-0.759738142495165,-0.785467303338839,-0.797484022325794,-0.807682660071368,-0.815365337398026,-0.822446943219484,-0.834304264278887,-0.838941812810739,-0.843859871999517,-0.844293663401658
1109378,0.404774888413049,146.050821660341,777,26.25,1.80456,"Épicéa commun","Forêts domaniales RF",0.718482613178504,-1.30969695824988,2.65133774474975,0.408925995325463,-1.21728630507978,1.8274533513416,0.955929309267503,-0.491956350959102,2.17269707067859,0.293671292634204,-1.22557113854498,1.80839888746516,-0.241886397686706,-0.333949869126955,-0.377344122598372,-0.421246877770134,-0.449904796409199,-0.4741175106171,-0.494391386819628,-0.515079088281814,-0.53857170221872,-0.559304923762944,-0.582605418133401,-0.605303378492185,-0.621081036958058,-0.643004218052365,-0.669140884891598,-0.695218189400146,-0.709383272224784,-0.719969320530975,-0.728618322744023,-0.736827815722749,-0.748759712261826,-0.753288538816952,-0.759646970327306,-0.761658321173047
1121381,0.271098396497529,321.022762444353,557,78.3000030517578,5.60748,"Chêne pédonculé","Forêts privées et autres - Hors PSG",0.647345221954837,-1.46314977423628,2.40989374580093,0.334971103861032,-1.31082814413562,1.83115223840344,1.00148627852873,-0.424822875518317,2.35222938467925,0.243562659242246,-1.22636845082006,1.78349048883133,-0.219903698203362,-0.296827189645576,-0.334591341150695,-0.376829827957662,-0.40154865852191,-0.423884657352071,-0.441103972449054,-0.460493055219466,-0.484272043616512,-0.504996121889383,-0.52889390314574,-0.551569197555044,-0.566627644158857,-0.588310259480261,-0.614845547579076,-0.640564994046182,-0.655089691527972,-0.665187536075454,-0.67335946225524,-0.68079134708851,-0.691800753923391,-0.695648091559057,-0.701457119979465,-0.702605521059156
1119583,0.381127433588076,574.803456890692,694,34.8000030517578,2.32564,"Hêtre","Autres forêts publiques RF",0.666052473912077,-1.40859337763336,2.69340709197333,0.330239494342951,-1.35651539264426,1.86365302796769,0.941094086847728,-0.607233393378209,2.15002818340814,0.259032641052745,-1.22713443084584,1.82543878021346,-0.418452996468372,-0.562865194470759,-0.635395330930244,-0.717751462530502,-0.773535556248587,-0.822065418487874,-0.869931069287024,-0.918222318718544,-0.96651604941527,-1.00967175329222,-1.04924828646473,-1.08525621399854,-1.10785027248352,-1.13091001109823,-1.15242178865963,-1.17174522077807,-1.18347471112526,-1.19050962238266,-1.19807083174225,-1.20444891627463,-1.21229555013287,-1.21837781851696,-1.22363101456208,-1.22456081417536
1112119,0.513852497980989,497.175206531391,812,17.4000015258789,4.10824,"Sapin pectiné","Forêts domaniales RF",0.602115443896404,-1.35702353048559,2.71475396678668,0.346232041768591,-1.35350047761587,1.88640859928686,1.00903447164209,-0.584439936609939,2.2912834095324,0.238113325023832,-1.29211723315632,1.83108682180818,-0.242971371639108,-0.351394813090448,-0.391548646673924,-0.440332989398818,-0.47075932762207,-0.500619574055398,-0.527742557641327,-0.556520025643891,-0.587184589097163,-0.613084148428962,-0.640745886578655,-0.665429990438305,-0.682077182405761,-0.702304763418344,-0.726380064347001,-0.750398981236893,-0.76018817427774,-0.765567605275479,-0.768709345456552,-0.770040012702653,-0.777212131005701,-0.77763840113504,-0.778249658207227,-0.775857646338992
1117136,0.21502364902634,339.919422904872,611,53.5999984741211,1.99582,"Hêtre","Forêts privées et autres - Hors PSG",0.653892699896793,-1.40496586826219,2.61508245552452,0.36684332532912,-1.304880687333,1.8617753739772,1.02883137168166,-0.430204454095797,2.32835845766352,0.248687784868847,-1.23554407403094,1.8197629972149,-0.281654586469507,-0.39302059788259,-0.444742182049621,-0.496965635012006,-0.532404807823036,-0.564271326455831,-0.592912948598991,-0.621907998467407,-0.651888991028646,-0.678436548949191,-0.706898827041098,-0.734235047854172,-0.75265948059544,-0.777511074246899,-0.805910430584129,-0.834055002407372,-0.849719847663627,-0.863021681930547,-0.874040766770599,-0.884563100669977,-0.899669622531225,-0.907127764646732,-0.914153064167112,-0.916034300761437
1123505,0.317119691399672,483.729981285013,887,78.3000030517578,2.22136,"Sapin pectiné","Autres forêts publiques RF",0.656702561829554,-1.56516915962965,2.80643559103359,0.345436465127287,-1.2826739809168,1.81047284387778,0.835887667708824,-0.623772288329474,1.98393482414344,0.254624485397953,-1.28678784054811,1.75318763323733,-0.224851063525212,-0.30567393769304,-0.345828777900647,-0.386878196272026,-0.412109481178502,-0.433187421291523,-0.450400814358716,-0.468316100906021,-0.489592269360376,-0.508219384124712,-0.530307947241699,-0.55191602675003,-0.567102596123822,-0.588517478053171,-0.614546034794986,-0.640654694710654,-0.655859770176224,-0.66643952354841,-0.675303434437325,-0.683930612189635,-0.695949915910546,-0.700274384989416,-0.706725483487177,-0.708947833161697
1103425,0.237196605715808,208.402024925703,508,42,5.74331,"Chêne pédonculé","Forêts privées et autres - Hors PSG",0.675912717339452,-1.53514751743557,2.49513949278725,0.314204431656118,-1.38867492168893,1.86733641774203,1.00666309060488,-0.490617567302112,2.27418861307442,0.249020367278408,-1.19566355343573,1.79778488369004,-0.373675863483442,-0.508621161881869,-0.571526621927419,-0.648030561007671,-0.699895026904406,-0.745517784305963,-0.7902149963119,-0.83577472484614,-0.882527340286759,-0.924484280697758,-0.963560651386571,-0.998524541088623,-1.0211481194978,-1.04400343347007,-1.06658777835058,-1.08617350321371,-1.09732829429483,-1.10421857187974,-1.11185412692064,-1.11788724467821,-1.12638980990478,-1.13263548579171,-1.13855012417713,-1.13961112863516
