"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1005503,30,"F40","privé - sans psg",240,5,"F"
1025638,14,"C12","privé - sans psg",227,8,"F"
1018058,10,"B41","privé - psg",80,7,"R"
1026889,23,"F15","privé - sans psg",144,10,"F"
1028453,15,"F30","privé - sans psg",439,5,"F"
1001242,17,"C20","publis - communales",293,9,"F"
1009672,21,"B23","publics - domaniales",150,8,"F"
1027960,33,"G50","publics - domaniales",252,9,"F"
1030821,16,"D11","publis - communales",586,8,"R"
1015805,19,"B33","privé - psg",236,10,"F"
1021337,31,"G70","privé - sans psg",609,8,"F"
1014744,9,"G22","privé - sans psg",1064,6,"F"
1030185,18,"I21","privé - sans psg",995,9,"F"
1025794,16,"C51","publics - domaniales",310,10,"F"
1002658,30,"J24","privé - sans psg",464,6,"R"
1009067,14,"B33","privé - psg",229,10,"F"
1004789,28,"I21","privé - sans psg",325,8,"F"
1030604,18,"C52","privé - sans psg",524,9,"F"
1031152,16,"B41","publics - domaniales",123,9,"F"
1003483,11,"A11","privé - psg",306,0,"F"
1004328,38,"I21","privé - sans psg",1057,10,"F"
1008958,21,"I22","publics - domaniales",1587,8,"F"
1016669,34,"C20","privé - psg",334,10,"F"
1021707,43,"H21","publis - communales",1150,8,"F"
1004232,23,"B82","privé - sans psg",100,10,"F"
1013743,27,"D12","privé - sans psg",278,5,"F"
1015635,14,"E10","privé - sans psg",469,8,"F"
1007337,15,"B70","privé - psg",147,9,"R"
1018831,10,"H42","publis - communales",1576,10,"R"
1006582,24,"G12","privé - sans psg",531,9,"R"
1012815,21,"B51","publics - domaniales",171,9,"F"
1008993,23,"D11","publis - communales",461,9,"F"
1030453,14,"A21","privé - sans psg",81,9,"F"
1002146,25,"F30","privé - sans psg",182,10,"F"
1018134,21,"F21","privé - psg",63,2,"F"
1026917,31,"I12","publis - communales",594,7,"R"
1019079,14,"J21","privé - sans psg",617,10,"F"
1016244,38,"I22","privé - sans psg",1526,3,"F"
1027939,21,"B70","privé - sans psg",95,8,"F"
1018468,14,"D11","publics - domaniales",410,2,"R"
1016422,17,"C20","privé - sans psg",248,10,"F"
1031129,16,"G11","privé - sans psg",231,3,"F"
1017334,23,"J23","publics - domaniales",610,9,"R"
1029871,11,"B41","privé - sans psg",158,9,"F"
1016802,35,"C30","publics - domaniales",249,8,"F"
1021440,11,"B41","publics - domaniales",156,8,"F"
1010134,10,"H10","privé - sans psg",718,10,"R"
1011220,15,"B42","privé - sans psg",211,8,"F"
1014342,14,"J23","publis - communales",590,9,"F"
1010162,11,"D11","publics - domaniales",386,8,"R"
1027944,22,"C12","publics - domaniales",222,8,"F"
1023610,22,"B41","privé - psg",153,9,"F"
1015713,10,"F22","publis - communales",20,1,"R"
1028928,15,"C20","privé - psg",226,9,"F"
1000356,46,"G90","privé - sans psg",667,10,"F"
1004213,26,"F30","privé - sans psg",246,10,"R"
1025888,17,"B61","privé - sans psg",35,1,"R"
1011738,13,"B91","privé - sans psg",192,10,"F"
1012956,21,"F15","privé - sans psg",197,10,"F"
1021128,32,"G22","privé - sans psg",911,10,"R"
1025088,9,"F22","publics - domaniales",14,7,"R"
1009654,9,"F21","privé - sans psg",60,4,"R"
1030486,20,"G21","privé - sans psg",823,6,"R"
1028716,22,"C20","publis - communales",247,8,"F"
1016355,16,"B53","privé - psg",224,8,"F"
1020251,24,"D12","publis - communales",450,9,"F"
1014371,20,"B70","privé - psg",108,9,"F"
1012307,19,"E20","privé - sans psg",1100,8,"R"
1006074,31,"J40","privé - sans psg",797,7,"F"
1028422,2,"A22","privé - psg",43,0,"F"
1026892,45,"C52","privé - sans psg",304,10,"F"
1028572,59,"E10","privé - sans psg",672,0,"F"
1008193,26,"B41","privé - sans psg",69,9,"F"
1007701,48,"B51","privé - psg",154,8,"F"
1016195,41,"G13","privé - sans psg",634,1,"F"
1012563,19,"C20","publis - communales",329,7,"F"
1021919,11,"B52","privé - psg",251,8,"F"
1004682,34,"C20","publics - domaniales",443,3,"F"
1024740,20,"C42","publis - communales",389,8,"F"
1002062,29,"C20","publis - communales",317,8,"F"
1027502,26,"F23","privé - sans psg",52,7,"F"
1029181,39,"B42","publics - domaniales",129,5,"F"
1007199,14,"B10","publics - domaniales",165,9,"F"
1009289,19,"B53","publics - domaniales",236,9,"F"
1000593,11,"D12","publics - domaniales",278,8,"F"
1003528,13,"C20","privé - psg",434,10,"F"
1012692,27,"I22","publis - communales",1642,8,"R"
1006948,20,"F12","privé - sans psg",33,7,"F"
1009864,17,"F23","privé - psg",96,5,"R"
1012720,15,"A11","privé - sans psg",230,6,"F"
1011529,10,"B33","privé - psg",126,9,"F"
1006662,39,"I21","privé - sans psg",907,10,"F"
1018820,42,"I21","publics - domaniales",1255,4,"F"
1010620,30,"F40","privé - sans psg",211,8,"F"
1013878,17,"C12","publics - domaniales",245,7,"F"
1023981,35,"G23","privé - sans psg",252,9,"F"
1015012,29,"J40","privé - sans psg",305,10,"R"
1000070,17,"B70","privé - psg",144,10,"R"
1024329,11,"D11","publics - domaniales",714,10,"R"
1025309,16,"C30","privé - psg",322,7,"F"
1027857,16,"F40","privé - sans psg",182,2,"F"
1011753,19,"B91","privé - psg",128,9,"F"
1011501,16,"F30","privé - sans psg",302,2,"F"
1027125,34,"F40","privé - sans psg",252,4,"F"
1001643,23,"B43","privé - sans psg",151,9,"F"
1004497,33,"B41","privé - sans psg",142,8,"F"
1030643,30,"B10","privé - sans psg",82,9,"F"
1022131,20,"D11","publis - communales",1069,2,"R"
1020066,36,"G23","privé - psg",577,10,"R"
1010431,24,"G22","publis - communales",1417,9,"F"
1011099,22,"H10","publics - domaniales",631,10,"R"
1022675,61,"E10","publis - communales",456,1,"R"
1007550,26,"J23","privé - sans psg",320,9,"R"
1009307,34,"C20","privé - sans psg",329,9,"F"
1007656,24,"G13","privé - psg",471,0,"F"
1008787,13,"G11","privé - sans psg",426,10,"F"
1025578,5,"B10","privé - psg",113,10,"F"
1026765,12,"G22","privé - psg",738,10,"F"
1007455,20,"C51","publics - domaniales",202,9,"F"
1023147,26,"G42","publis - communales",795,9,"R"
1029148,17,"F30","privé - sans psg",137,10,"F"
1015447,37,"J21","privé - psg",471,10,"F"
1020067,19,"D11","privé - sans psg",538,10,"F"
1017393,13,"B62","privé - psg",118,0,"R"
1010322,47,"I22","publis - communales",926,9,"F"
1027286,13,"F11","privé - sans psg",179,3,"F"
1010289,61,"K12","privé - sans psg",1027,4,"R"
1000726,4,"F21","privé - psg",107,0,"F"
1028657,65,"E10","privé - sans psg",632,5,"R"
1019030,30,"B70","privé - psg",98,9,"F"
1019776,10,"F21","privé - psg",49,0,"R"
1006095,61,"H22","publis - communales",1396,9,"R"
1024111,22,"F30","privé - sans psg",52,10,"F"
1005136,27,"C20","publis - communales",475,8,"F"
1003551,20,"A11","privé - sans psg",107,10,"F"
1009449,41,"G12","privé - psg",345,9,"R"
1003191,10,"F21","privé - sans psg",32,4,"R"
1012458,21,"F30","privé - sans psg",86,6,"F"
1025923,14,"B70","privé - psg",112,10,"R"
1002339,19,"C30","publics - domaniales",280,8,"F"
1004645,29,"J22","privé - sans psg",160,4,"R"
1008240,54,"C20","publis - communales",337,9,"F"
1018999,20,"B43","privé - sans psg",72,8,"F"
1027538,12,"B10","privé - psg",166,9,"F"
1029567,8,"B10","privé - psg",116,8,"R"
1026082,9,"A22","privé - sans psg",24,0,"F"
1009068,13,"F40","privé - sans psg",342,9,"F"
1029889,19,"F40","privé - sans psg",175,9,"F"
1006387,27,"F40","privé - sans psg",256,7,"F"
1025249,49,"C20","publis - communales",352,8,"F"
1000252,20,"B62","privé - sans psg",152,8,"F"
1015569,16,"H41","publis - communales",1364,7,"R"
1014655,27,"F23","privé - sans psg",100,0,"R"
1001399,25,"G60","privé - sans psg",664,10,"F"
1006962,17,"B32","privé - psg",121,9,"F"
